condition,theta,n,overall_correct_rate,task_completion_rate,data_retrieval_accuracy_rate,generalized_result_verification_rate,agent_sequence_correct_rate,clarity_and_justification_rate,hallucinations_rate
A_raw_llm,,46,0.0,0.0652,0.0,0.0652,0.0652,0.2174,0.9348
B_tool_baseline,,46,0.1304,0.1957,0.2391,0.1739,0.2609,0.3696,0.7391
C_planning_only,,46,0.1087,0.2667,0.3111,0.2667,0.4444,0.1333,0.6667
D_skills_knowledge_no_deep_tsfm,,46,0.2174,0.4444,0.3333,0.3778,0.8667,0.4667,0.4667
E_full_theta_0_5,0.5,46,0.2609,0.4222,0.3778,0.3778,0.8667,0.6444,0.3778
E_full_theta_0_6,0.6,46,0.1522,0.3333,0.3333,0.3333,0.8571,0.5,0.4524
E_full_theta_0_65,0.65,46,0.2826,0.5349,0.3488,0.4419,0.8372,0.6047,0.3256
E_full_theta_0_7,0.7,46,0.1087,0.4545,0.2727,0.3864,0.8864,0.5227,0.3182
E_full_theta_0_8,0.8,46,0.3043,0.5556,0.4667,0.5111,0.8889,0.5111,0.3556
E_full_theta_0_9,0.9,46,0.2609,0.5227,0.4545,0.4773,0.9091,0.6364,0.3182
E_full_theta_0_95,0.95,46,0.2826,0.5333,0.4667,0.4444,0.8,0.5111,0.4
F_skills_knowledge_always_deep,,46,0.1739,0.5333,0.4444,0.4444,0.9333,0.4889,0.3333
