timestamp,Chiller 6 Condenser Water Return To Tower Temperature,Chiller 6 Chiller Efficiency,Chiller 6 Tonnage,Chiller 6 Supply Temperature,Chiller 6 Return Temperature,Chiller 6 Condenser Water Flow,Chiller 6 Power Input,Chiller 6 Chiller % Loaded,Chiller 6 Liquid Refrigerant Evaporator Temperature,Chiller 6 Setpoint Temperature,Chiller 6 Run Status,Chiller 6 Schedule
2023-03-21T19:45:06-04:00,68.80000305175781,0.0,0.0,64.30000305175781,60.599998474121094,0.0,0,0,65.5999984741211,42.0,,
2023-03-21T20:00:08-04:00,68.80000305175781,0.0,0.0,64.19999694824219,60.5,0.0,0,0,65.5999984741211,42.0,,
2023-03-21T20:15:07-04:00,68.80000305175781,0.0,0.0,64.19999694824219,60.599998474121094,0.0,0,0,65.5999984741211,42.0,,
2023-03-21T20:30:07-04:00,68.80000305175781,0.0,0.0,64.30000305175781,60.599998474121094,0.0,0,0,65.5999984741211,42.0,,
2023-03-21T20:45:04-04:00,68.80000305175781,0.0,0.0,64.30000305175781,60.599998474121094,0.0,0,0,65.5999984741211,42.0,,
2023-03-21T21:00:03-04:00,68.9000015258789,0.0,0.0,64.30000305175781,60.599998474121094,0.0,0,0,65.5999984741211,42.0,,
2023-03-21T21:15:03-04:00,68.80000305175781,0.0,0.0,64.30000305175781,60.599998474121094,0.0,0,0,65.5999984741211,42.0,,
2023-03-21T21:30:03-04:00,68.9000015258789,0.0,0.0,64.30000305175781,60.599998474121094,0.0,0,0,65.5999984741211,42.0,,
2023-03-21T21:45:03-04:00,68.9000015258789,0.0,0.0,64.30000305175781,60.599998474121094,2.75,0,0,65.5999984741211,42.0,,
2023-03-21T22:00:03-04:00,68.9000015258789,0.0,0.0,64.4000015258789,60.599998474121094,0.0,0,0,65.5999984741211,42.0,,
2023-03-21T22:15:03-04:00,68.9000015258789,0.0,0.0,64.4000015258789,60.70000076293945,0.0,0,0,65.5999984741211,42.0,,
2023-03-21T22:30:04-04:00,68.9000015258789,0.0,0.0,64.4000015258789,60.70000076293945,0.0,0,0,65.5999984741211,42.0,,
2023-03-21T22:45:04-04:00,68.9000015258789,0.0,0.0,64.30000305175781,60.599998474121094,5.5,0,0,65.5999984741211,42.0,,
2023-03-21T23:00:03-04:00,68.9000015258789,0.0,0.0,64.4000015258789,60.70000076293945,0.0,0,0,65.5999984741211,42.0,,
2023-03-21T23:15:03-04:00,68.9000015258789,0.0,0.0,64.4000015258789,60.70000076293945,0.0,0,0,65.69999694824219,42.0,,
2023-03-21T23:30:05-04:00,68.9000015258789,0.0,0.0,64.4000015258789,60.70000076293945,0.0,0,0,65.69999694824219,42.0,,
2023-03-21T23:45:04-04:00,68.9000015258789,0.0,0.0,64.30000305175781,60.79999923706055,0.0,0,0,65.69999694824219,42.0,,
2023-03-22T00:00:06-04:00,68.80000305175781,0.0,0.0,64.4000015258789,60.79999923706055,0.0,0,0,65.69999694824219,42.0,,
2023-03-22T00:15:08-04:00,68.80000305175781,0.0,0.0,64.30000305175781,60.70000076293945,0.0,0,0,65.80000305175781,42.0,,
2023-03-22T00:30:06-04:00,68.80000305175781,0.0,0.0,64.5,60.70000076293945,0.0,0,0,65.80000305175781,42.0,,
2023-03-22T00:45:04-04:00,68.80000305175781,0.0,0.0,64.4000015258789,60.79999923706055,0.0,0,0,65.80000305175781,42.0,,
2023-03-22T01:00:04-04:00,68.80000305175781,0.0,0.0,64.5,60.79999923706055,0.0,0,0,65.80000305175781,42.0,,
2023-03-22T01:15:04-04:00,68.80000305175781,0.0,0.0,64.5,60.599998474121094,2.75,0,0,65.80000305175781,42.0,,
2023-03-22T01:30:04-04:00,68.80000305175781,0.0,0.0,64.5,60.79999923706055,2.75,0,0,65.9000015258789,42.0,,
2023-03-22T01:45:03-04:00,68.80000305175781,0.0,0.0,64.5,60.79999923706055,0.0,0,0,65.9000015258789,42.0,,
